Tempo;X_Bruto;X_Suavizado
16:09:50.230;221,00;223,88
16:09:50.280;222,00;223,59
16:09:50.330;223,00;223,51
16:09:50.381;224,00;223,58
16:09:50.431;224,00;223,64
16:09:50.481;224,00;223,70
16:09:50.531;226,00;224,04
16:09:50.581;226,00;224,34
16:09:50.632;226,00;224,59
16:09:50.682;226,00;224,80
16:09:50.732;460,00;260,08
16:09:50.782;460,00;290,07
16:09:50.833;460,00;315,56
16:09:50.883;465,00;337,97
16:09:50.933;467,00;357,33
16:09:50.983;471,00;374,38
16:09:51.033;473,00;389,17
16:09:51.084;476,00;402,20
16:09:51.134;476,00;413,27
16:09:51.184;476,00;422,68
16:09:51.234;478,00;430,97
16:09:51.285;477,00;437,88
16:09:51.335;478,00;443,90
16:09:51.385;478,00;449,01
16:09:51.435;479,00;453,51
16:09:51.486;479,00;457,33
16:09:51.536;479,00;460,58
16:09:51.586;478,00;463,20
16:09:51.636;478,00;465,42
16:09:51.686;476,00;467,00
16:09:51.737;473,00;467,90
16:09:51.787;473,00;468,67
16:09:51.837;473,00;469,32
16:09:51.887;474,00;470,02
16:09:51.937;475,00;470,77
16:09:51.988;475,00;471,40
16:09:52.038;475,00;471,94
16:09:52.088;474,00;472,25
16:09:52.138;474,00;472,51
16:09:52.189;474,00;472,74
16:09:52.239;472,00;472,63
16:09:52.289;471,00;472,38
16:09:52.339;475,00;472,77
16:09:52.390;472,00;472,66
16:09:52.440;472,00;472,56
16:09:52.490;472,00;472,48
16:09:52.540;473,00;472,55
16:09:52.590;472,00;472,47
16:09:52.641;471,00;472,25
16:09:52.691;465,00;471,16
16:09:52.741;470,00;470,99
16:09:52.791;470,00;470,84
16:09:52.841;470,00;470,71
16:09:52.892;470,00;470,61
16:09:52.942;470,00;470,52
16:09:52.992;470,00;470,44
16:09:53.042;470,00;470,37
16:09:53.093;470,00;470,32
16:09:53.143;470,00;470,27
16:09:53.193;470,00;470,23
16:09:53.243;470,00;470,19
16:09:53.293;470,00;470,17
16:09:53.344;470,00;470,14
16:09:53.394;470,00;470,12
16:09:53.444;470,00;470,10
16:09:53.494;470,00;470,09
16:09:53.545;470,00;470,07
16:09:53.595;470,00;470,06
16:09:53.645;470,00;470,05
16:09:53.696;470,00;470,05
16:09:53.746;470,00;470,04
16:09:53.796;470,00;470,03
16:09:53.846;470,00;470,03
16:09:53.897;470,00;470,02
16:09:53.947;470,00;470,02
16:09:53.997;470,00;470,02
16:09:54.047;470,00;470,01
16:09:54.098;470,00;470,01
16:09:54.148;470,00;470,01
16:09:54.198;470,00;470,01
16:09:54.248;470,00;470,01
16:09:54.299;470,00;470,01
16:09:54.349;470,00;470,01
16:09:54.399;470,00;470,00
16:09:54.450;470,00;470,00
16:09:54.500;470,00;470,00
16:09:54.550;470,00;470,00
16:09:54.601;470,00;470,00
16:09:54.651;470,00;470,00
16:09:54.701;470,00;470,00
16:09:54.752;470,00;470,00
16:09:54.802;470,00;470,00
16:09:54.853;470,00;470,00
16:09:54.903;470,00;470,00
16:09:54.953;470,00;470,00
16:09:55.004;470,00;470,00
16:09:55.054;470,00;470,00
16:09:55.104;470,00;470,00
16:09:55.155;470,00;470,00
16:09:55.205;470,00;470,00
16:09:55.256;470,00;470,00
16:09:55.306;470,00;470,00
16:09:55.356;470,00;470,00
16:09:55.406;470,00;470,00
16:09:55.457;470,00;470,00
16:09:55.507;470,00;470,00
16:09:55.557;470,00;470,00
16:09:55.608;470,00;470,00
16:09:55.658;470,00;470,00
16:09:55.708;470,00;470,00
16:09:55.759;470,00;470,00
