Tempo;Gesto
16:02:42.872;ABERTA
16:02:42.903;ABERTA
16:02:42.935;ABERTA
16:02:42.966;ABERTA
16:02:42.997;ABERTA
16:02:43.029;ABERTA
16:02:43.060;ABERTA
16:02:43.092;ABERTA
16:02:43.123;ABERTA
16:02:43.155;FECHADA
16:02:43.187;FECHADA
16:02:43.218;FECHADA
16:02:43.250;FECHADA
16:02:43.281;FECHADA
16:02:43.313;FECHADA
16:02:43.345;FECHADA
16:02:43.376;FECHADA
16:02:43.407;FECHADA
16:02:43.438;FECHADA
16:02:43.469;FECHADA
16:02:43.501;ABERTA
16:02:43.532;ABERTA
16:02:43.564;ABERTA
16:02:43.596;ABERTA
16:02:43.628;ABERTA
16:02:43.660;ABERTA
16:02:43.692;ABERTA
16:02:43.723;ABERTA
16:02:43.755;ABERTA
16:02:43.786;ABERTA
16:02:43.817;ABERTA
16:02:43.849;ABERTA
16:02:43.881;ABERTA
16:02:43.913;ABERTA
16:02:43.944;ABERTA
16:02:43.976;ABERTA
16:02:44.007;ABERTA
16:02:44.039;ABERTA
16:02:44.070;ABERTA
16:02:44.102;ABERTA
16:02:44.134;ABERTA
16:02:44.165;ABERTA
16:02:44.197;ABERTA
16:02:44.228;ABERTA
16:02:44.260;ABERTA
16:02:44.291;ABERTA
16:02:44.323;ABERTA
16:02:44.354;ABERTA
16:02:44.386;ABERTA
16:02:44.418;ABERTA
16:02:44.449;ABERTA
16:02:44.480;ABERTA
16:02:44.511;ABERTA
16:02:44.543;ABERTA
16:02:44.575;ABERTA
16:02:44.606;ABERTA
16:02:44.638;ABERTA
16:02:44.670;ABERTA
16:02:44.701;ABERTA
16:02:44.733;ABERTA
16:02:44.765;ABERTA
16:02:44.796;ABERTA
16:02:44.828;ABERTA
16:02:44.859;ABERTA
16:02:44.891;ABERTA
16:02:44.923;ABERTA
16:02:44.954;ABERTA
16:02:44.985;ABERTA
16:02:45.017;ABERTA
16:02:45.049;ABERTA
16:02:45.080;ABERTA
16:02:45.111;FECHADA
16:02:45.143;FECHADA
16:02:45.175;FECHADA
16:02:45.206;FECHADA
16:02:45.237;FECHADA
16:02:45.269;FECHADA
16:02:45.301;FECHADA
16:02:45.332;FECHADA
16:02:45.364;FECHADA
16:02:45.395;FECHADA
16:02:45.427;FECHADA
16:02:45.458;FECHADA
16:02:45.490;ABERTA
16:02:45.522;ABERTA
16:02:45.553;ABERTA
16:02:45.584;ABERTA
16:02:45.616;ABERTA
16:02:45.647;FECHADA
16:02:45.678;FECHADA
16:02:45.709;FECHADA
16:02:45.741;FECHADA
16:02:45.772;FECHADA
16:02:45.804;FECHADA
16:02:45.835;ABERTA
16:02:45.867;ABERTA
16:02:45.899;ABERTA
16:02:45.930;ABERTA
16:02:45.962;ABERTA
16:02:45.994;ABERTA
16:02:46.026;ABERTA
16:02:46.057;ABERTA
16:02:46.089;ABERTA
16:02:46.121;ABERTA
16:02:46.153;ABERTA
